game_play,game_key,play_id,view,start_time,end_time,snap_time
58168_003392,58168,3392,Endzone,2020-09-11T03:01:43.134Z,2020-09-11T03:01:54.971Z,2020-09-11T03:01:48.134Z
58168_003392,58168,3392,Sideline,2020-09-11T03:01:43.134Z,2020-09-11T03:01:54.971Z,2020-09-11T03:01:48.134Z
58172_003247,58172,3247,Endzone,2020-09-13T19:30:42.414Z,2020-09-13T19:31:00.524Z,2020-09-13T19:30:47.414Z
58172_003247,58172,3247,Sideline,2020-09-13T19:30:42.414Z,2020-09-13T19:31:00.524Z,2020-09-13T19:30:47.414Z
58173_003606,58173,3606,Endzone,2020-09-13T19:45:07.527Z,2020-09-13T19:45:26.438Z,2020-09-13T19:45:12.527Z
58173_003606,58173,3606,Sideline,2020-09-13T19:45:07.527Z,2020-09-13T19:45:26.438Z,2020-09-13T19:45:12.527Z
58174_001792,58174,1792,Endzone,2020-09-13T18:11:38.532Z,2020-09-13T18:11:51.415Z,2020-09-13T18:11:43.532Z
58174_001792,58174,1792,Sideline,2020-09-13T18:11:38.532Z,2020-09-13T18:11:51.415Z,2020-09-13T18:11:43.532Z
58176_002844,58176,2844,Endzone,2020-09-13T19:10:15.684Z,2020-09-13T19:10:26.423Z,2020-09-13T19:10:20.684Z
58176_002844,58176,2844,Sideline,2020-09-13T19:10:15.684Z,2020-09-13T19:10:26.423Z,2020-09-13T19:10:20.684Z
58177_004239,58177,4239,Endzone,2020-09-13T20:09:11.307Z,2020-09-13T20:09:23.445Z,2020-09-13T20:09:16.306Z
58177_004239,58177,4239,Sideline,2020-09-13T20:09:11.307Z,2020-09-13T20:09:23.445Z,2020-09-13T20:09:16.306Z
58180_000986,58180,986,Endzone,2020-09-13T21:02:58.853Z,2020-09-13T21:03:16.295Z,2020-09-13T21:03:03.853Z
58180_000986,58180,986,Sideline,2020-09-13T21:02:58.853Z,2020-09-13T21:03:16.295Z,2020-09-13T21:03:03.853Z
58180_004644,58180,4644,Endzone,2020-09-13T23:28:24.245Z,2020-09-13T23:28:34.080Z,2020-09-13T23:28:29.245Z
58180_004644,58180,4644,Sideline,2020-09-13T23:28:24.245Z,2020-09-13T23:28:34.080Z,2020-09-13T23:28:29.245Z
58187_001341,58187,1341,Endzone,2020-09-20T17:54:57.267Z,2020-09-20T17:55:09.449Z,2020-09-20T17:55:02.267Z
58187_001341,58187,1341,Sideline,2020-09-20T17:54:57.267Z,2020-09-20T17:55:09.449Z,2020-09-20T17:55:02.267Z
58187_001383,58187,1383,Endzone,2020-09-20T17:56:10.307Z,2020-09-20T17:56:25.171Z,2020-09-20T17:56:15.307Z
58187_001383,58187,1383,Sideline,2020-09-20T17:56:10.307Z,2020-09-20T17:56:25.171Z,2020-09-20T17:56:15.307Z
58187_001691,58187,1691,Endzone,2020-09-20T18:08:47.230Z,2020-09-20T18:09:02.465Z,2020-09-20T18:08:52.230Z
58187_001691,58187,1691,Sideline,2020-09-20T18:08:47.230Z,2020-09-20T18:09:02.465Z,2020-09-20T18:08:52.230Z
58187_002329,58187,2329,Endzone,2020-09-20T18:46:37.200Z,2020-09-20T18:46:48.493Z,2020-09-20T18:46:42.200Z
58187_002329,58187,2329,Sideline,2020-09-20T18:46:37.200Z,2020-09-20T18:46:48.493Z,2020-09-20T18:46:42.200Z
58187_002815,58187,2815,Endzone,2020-09-20T19:10:34.437Z,2020-09-20T19:10:48.085Z,2020-09-20T19:10:39.437Z
58187_002815,58187,2815,Sideline,2020-09-20T19:10:34.437Z,2020-09-20T19:10:48.085Z,2020-09-20T19:10:39.437Z
58187_003092,58187,3092,Endzone,2020-09-20T19:21:53.583Z,2020-09-20T19:22:07.007Z,2020-09-20T19:21:58.583Z
58187_003092,58187,3092,Sideline,2020-09-20T19:21:53.583Z,2020-09-20T19:22:07.007Z,2020-09-20T19:21:58.583Z
58188_001358,58188,1358,Endzone,2020-09-20T17:55:39.789Z,2020-09-20T17:55:52.828Z,2020-09-20T17:55:44.789Z
58188_001358,58188,1358,Sideline,2020-09-20T17:55:39.789Z,2020-09-20T17:55:52.828Z,2020-09-20T17:55:44.789Z
58188_001757,58188,1757,Endzone,2020-09-20T18:10:21.905Z,2020-09-20T18:10:35.043Z,2020-09-20T18:10:26.905Z
58188_001757,58188,1757,Sideline,2020-09-20T18:10:21.905Z,2020-09-20T18:10:35.043Z,2020-09-20T18:10:26.905Z
58189_002566,58189,2566,Endzone,2020-09-20T19:33:04.187Z,2020-09-20T19:33:15.424Z,2020-09-20T19:33:09.187Z
58189_002566,58189,2566,Sideline,2020-09-20T19:33:04.187Z,2020-09-20T19:33:15.424Z,2020-09-20T19:33:09.187Z
58190_000309,58190,309,Endzone,2020-09-20T17:13:04.166Z,2020-09-20T17:13:16.059Z,2020-09-20T17:13:09.166Z
58190_000309,58190,309,Sideline,2020-09-20T17:13:04.166Z,2020-09-20T17:13:16.059Z,2020-09-20T17:13:09.166Z
58190_002259,58190,2259,Endzone,2020-09-20T18:49:00.189Z,2020-09-20T18:49:11.826Z,2020-09-20T18:49:05.189Z
58190_002259,58190,2259,Sideline,2020-09-20T18:49:00.189Z,2020-09-20T18:49:11.826Z,2020-09-20T18:49:05.189Z
58198_002514,58198,2514,Endzone,2020-09-21T02:19:41.445Z,2020-09-21T02:19:54.451Z,2020-09-21T02:19:46.445Z
58198_002514,58198,2514,Sideline,2020-09-21T02:19:41.445Z,2020-09-21T02:19:54.451Z,2020-09-21T02:19:46.445Z
58198_003771,58198,3771,Endzone,2020-09-21T03:15:08.272Z,2020-09-21T03:15:20.777Z,2020-09-21T03:15:13.272Z
58198_003771,58198,3771,Sideline,2020-09-21T03:15:08.272Z,2020-09-21T03:15:20.777Z,2020-09-21T03:15:13.272Z
58200_000058,58200,58,Endzone,2020-09-25T00:23:25.914Z,2020-09-25T00:23:39.186Z,2020-09-25T00:23:30.914Z
58200_000058,58200,58,Sideline,2020-09-25T00:23:25.914Z,2020-09-25T00:23:39.186Z,2020-09-25T00:23:30.914Z
58200_000736,58200,736,Endzone,2020-09-25T00:54:11.398Z,2020-09-25T00:54:24.804Z,2020-09-25T00:54:16.398Z
58200_000736,58200,736,Sideline,2020-09-25T00:54:11.398Z,2020-09-25T00:54:24.804Z,2020-09-25T00:54:16.398Z
58200_003925,58200,3925,Endzone,2020-09-25T03:22:37.150Z,2020-09-25T03:22:50.021Z,2020-09-25T03:22:42.150Z
58200_003925,58200,3925,Sideline,2020-09-25T03:22:37.150Z,2020-09-25T03:22:50.021Z,2020-09-25T03:22:42.150Z
58202_000170,58202,170,Endzone,2020-09-27T17:06:39.285Z,2020-09-27T17:06:51.376Z,2020-09-27T17:06:44.285Z
58202_000170,58202,170,Sideline,2020-09-27T17:06:39.285Z,2020-09-27T17:06:51.376Z,2020-09-27T17:06:44.285Z
58202_000546,58202,546,Endzone,2020-09-27T17:20:36.088Z,2020-09-27T17:20:47.388Z,2020-09-27T17:20:41.088Z
58202_000546,58202,546,Sideline,2020-09-27T17:20:36.088Z,2020-09-27T17:20:47.388Z,2020-09-27T17:20:41.088Z
58202_000758,58202,758,Endzone,2020-09-27T17:32:43.316Z,2020-09-27T17:32:54.619Z,2020-09-27T17:32:48.316Z
58202_000758,58202,758,Sideline,2020-09-27T17:32:43.316Z,2020-09-27T17:32:54.619Z,2020-09-27T17:32:48.316Z
58202_002335,58202,2335,Endzone,2020-09-27T18:50:35.254Z,2020-09-27T18:50:48.826Z,2020-09-27T18:50:40.254Z
58202_002335,58202,2335,Sideline,2020-09-27T18:50:35.254Z,2020-09-27T18:50:48.826Z,2020-09-27T18:50:40.254Z
58203_003141,58203,3141,Endzone,2020-09-27T19:16:57.082Z,2020-09-27T19:17:11.822Z,2020-09-27T19:17:02.082Z
58203_003141,58203,3141,Sideline,2020-09-27T19:16:57.082Z,2020-09-27T19:17:11.822Z,2020-09-27T19:17:02.082Z
58204_000790,58204,790,Endzone,2020-09-27T17:33:54.465Z,2020-09-27T17:34:10.440Z,2020-09-27T17:33:59.465Z
58204_000790,58204,790,Sideline,2020-09-27T17:33:54.465Z,2020-09-27T17:34:10.440Z,2020-09-27T17:33:59.465Z
58204_001073,58204,1073,Endzone,2020-09-27T17:50:48.579Z,2020-09-27T17:51:00.250Z,2020-09-27T17:50:53.579Z
58204_001073,58204,1073,Sideline,2020-09-27T17:50:48.579Z,2020-09-27T17:51:00.250Z,2020-09-27T17:50:53.579Z
58204_001094,58204,1094,Endzone,2020-09-27T17:51:23.281Z,2020-09-27T17:51:35.832Z,2020-09-27T17:51:28.281Z
58204_001094,58204,1094,Sideline,2020-09-27T17:51:23.281Z,2020-09-27T17:51:35.832Z,2020-09-27T17:51:28.281Z
58204_002822,58204,2822,Endzone,2020-09-27T19:16:50.308Z,2020-09-27T19:17:02.138Z,2020-09-27T19:16:55.308Z
58204_002822,58204,2822,Sideline,2020-09-27T19:16:50.308Z,2020-09-27T19:17:02.138Z,2020-09-27T19:16:55.308Z
58204_002864,58204,2864,Endzone,2020-09-27T19:18:08.052Z,2020-09-27T19:18:18.892Z,2020-09-27T19:18:13.052Z
58204_002864,58204,2864,Sideline,2020-09-27T19:18:08.052Z,2020-09-27T19:18:18.892Z,2020-09-27T19:18:13.052Z
58204_003581,58204,3581,Endzone,2020-09-27T19:47:21.572Z,2020-09-27T19:47:33.358Z,2020-09-27T19:47:26.572Z
58204_003581,58204,3581,Sideline,2020-09-27T19:47:21.572Z,2020-09-27T19:47:33.358Z,2020-09-27T19:47:26.572Z
58205_000809,58205,809,Endzone,2020-09-27T17:34:20.864Z,2020-09-27T17:34:32.702Z,2020-09-27T17:34:25.864Z
58205_000809,58205,809,Sideline,2020-09-27T17:34:20.864Z,2020-09-27T17:34:32.702Z,2020-09-27T17:34:25.864Z
58209_001445,58209,1445,Endzone,2020-09-27T21:05:38.131Z,2020-09-27T21:05:52.404Z,2020-09-27T21:05:43.131Z
58209_001445,58209,1445,Sideline,2020-09-27T21:05:38.131Z,2020-09-27T21:05:52.404Z,2020-09-27T21:05:43.131Z
58211_002891,58211,2891,Endzone,2020-09-27T22:29:56.302Z,2020-09-27T22:30:09.574Z,2020-09-27T22:30:01.302Z
58211_002891,58211,2891,Sideline,2020-09-27T22:29:56.302Z,2020-09-27T22:30:09.574Z,2020-09-27T22:30:01.302Z
58211_003268,58211,3268,Endzone,2020-09-27T22:46:33.333Z,2020-09-27T22:46:45.737Z,2020-09-27T22:46:38.333Z
58211_003268,58211,3268,Sideline,2020-09-27T22:46:33.333Z,2020-09-27T22:46:45.737Z,2020-09-27T22:46:38.333Z
58211_003628,58211,3628,Endzone,2020-09-27T23:01:43.843Z,2020-09-27T23:01:57.182Z,2020-09-27T23:01:48.843Z
58211_003628,58211,3628,Sideline,2020-09-27T23:01:43.843Z,2020-09-27T23:01:57.182Z,2020-09-27T23:01:48.843Z
58213_004027,58213,4027,Endzone,2020-09-27T23:19:47.785Z,2020-09-27T23:20:04.227Z,2020-09-27T23:19:52.785Z
58213_004027,58213,4027,Sideline,2020-09-27T23:19:47.785Z,2020-09-27T23:20:04.227Z,2020-09-27T23:19:52.785Z
58215_002887,58215,2887,Endzone,2020-09-29T02:17:58.283Z,2020-09-29T02:18:10.354Z,2020-09-29T02:18:03.283Z
58215_002887,58215,2887,Sideline,2020-09-29T02:17:58.283Z,2020-09-29T02:18:10.354Z,2020-09-29T02:18:03.283Z
58216_001891,58216,1891,Endzone,2020-10-02T01:42:52.529Z,2020-10-02T01:43:03.584Z,2020-10-02T01:42:57.529Z
58216_001891,58216,1891,Sideline,2020-10-02T01:42:52.529Z,2020-10-02T01:43:03.584Z,2020-10-02T01:42:57.529Z
58216_001939,58216,1939,Endzone,2020-10-02T01:44:20.469Z,2020-10-02T01:44:31.791Z,2020-10-02T01:44:25.469Z
58216_001939,58216,1939,Sideline,2020-10-02T01:44:20.469Z,2020-10-02T01:44:31.791Z,2020-10-02T01:44:25.469Z
58217_002635,58217,2635,Endzone,2020-10-04T18:56:58.264Z,2020-10-04T18:57:10.568Z,2020-10-04T18:57:03.264Z
58217_002635,58217,2635,Sideline,2020-10-04T18:56:58.264Z,2020-10-04T18:57:10.568Z,2020-10-04T18:57:03.264Z
58218_001523,58218,1523,Endzone,2020-10-04T21:24:47.567Z,2020-10-04T21:24:58.236Z,2020-10-04T21:24:52.567Z
58218_001523,58218,1523,Sideline,2020-10-04T21:24:47.567Z,2020-10-04T21:24:58.236Z,2020-10-04T21:24:52.567Z
58218_003210,58218,3210,Endzone,2020-10-04T22:42:47.113Z,2020-10-04T22:42:58.550Z,2020-10-04T22:42:52.113Z
58218_003210,58218,3210,Sideline,2020-10-04T22:42:47.113Z,2020-10-04T22:42:58.550Z,2020-10-04T22:42:52.113Z
58219_000820,58219,820,Endzone,2020-10-04T17:34:42.979Z,2020-10-04T17:34:54.282Z,2020-10-04T17:34:47.979Z
58219_000820,58219,820,Sideline,2020-10-04T17:34:42.979Z,2020-10-04T17:34:54.282Z,2020-10-04T17:34:47.979Z
58219_002964,58219,2964,Endzone,2020-10-04T19:17:37.075Z,2020-10-04T19:17:53.684Z,2020-10-04T19:17:42.075Z
58219_002964,58219,2964,Sideline,2020-10-04T19:17:37.075Z,2020-10-04T19:17:53.684Z,2020-10-04T19:17:42.075Z
58220_002149,58220,2149,Endzone,2020-10-04T18:29:58.609Z,2020-10-04T18:30:12.682Z,2020-10-04T18:30:03.609Z
58220_002149,58220,2149,Sideline,2020-10-04T18:29:58.609Z,2020-10-04T18:30:12.682Z,2020-10-04T18:30:03.609Z
58221_001269,58221,1269,Endzone,2020-10-04T17:59:01.907Z,2020-10-04T17:59:16.079Z,2020-10-04T17:59:06.907Z
58221_001269,58221,1269,Sideline,2020-10-04T17:59:01.907Z,2020-10-04T17:59:16.079Z,2020-10-04T17:59:06.907Z
58224_000998,58224,998,Endzone,2020-10-04T17:46:44.958Z,2020-10-04T17:46:56.828Z,2020-10-04T17:46:49.958Z
58224_000998,58224,998,Sideline,2020-10-04T17:46:44.958Z,2020-10-04T17:46:56.828Z,2020-10-04T17:46:49.958Z
58224_001771,58224,1771,Endzone,2020-10-04T18:20:25.245Z,2020-10-04T18:20:37.964Z,2020-10-04T18:20:30.245Z
58224_001771,58224,1771,Sideline,2020-10-04T18:20:25.245Z,2020-10-04T18:20:37.964Z,2020-10-04T18:20:30.245Z
58224_002486,58224,2486,Endzone,2020-10-04T19:03:39.339Z,2020-10-04T19:03:50.909Z,2020-10-04T19:03:44.339Z
58224_002486,58224,2486,Sideline,2020-10-04T19:03:39.339Z,2020-10-04T19:03:50.909Z,2020-10-04T19:03:44.339Z
58224_003139,58224,3139,Endzone,2020-10-04T19:30:06.359Z,2020-10-04T19:30:24.703Z,2020-10-04T19:30:11.359Z
58224_003139,58224,3139,Sideline,2020-10-04T19:30:06.359Z,2020-10-04T19:30:24.703Z,2020-10-04T19:30:11.359Z
58225_003821,58225,3821,Endzone,2020-10-25T19:54:19.343Z,2020-10-25T19:54:30.313Z,2020-10-25T19:54:24.343Z
58225_003821,58225,3821,Sideline,2020-10-25T19:54:19.343Z,2020-10-25T19:54:30.313Z,2020-10-25T19:54:24.343Z
58226_000777,58226,777,Endzone,2020-10-04T17:30:58.562Z,2020-10-04T17:31:10.999Z,2020-10-04T17:31:03.562Z
58226_000777,58226,777,Sideline,2020-10-04T17:30:58.562Z,2020-10-04T17:31:10.999Z,2020-10-04T17:31:03.562Z
58226_001740,58226,1740,Endzone,2020-10-04T18:14:25.235Z,2020-10-04T18:14:36.367Z,2020-10-04T18:14:30.235Z
58226_001740,58226,1740,Sideline,2020-10-04T18:14:25.235Z,2020-10-04T18:14:36.367Z,2020-10-04T18:14:30.235Z
58226_003009,58226,3009,Endzone,2020-10-04T19:15:30.577Z,2020-10-04T19:15:43.581Z,2020-10-04T19:15:35.577Z
58226_003009,58226,3009,Sideline,2020-10-04T19:15:30.577Z,2020-10-04T19:15:43.581Z,2020-10-04T19:15:35.577Z
58227_000943,58227,943,Endzone,2020-10-04T20:44:08.876Z,2020-10-04T20:44:22.015Z,2020-10-04T20:44:13.876Z
58227_000943,58227,943,Sideline,2020-10-04T20:44:08.876Z,2020-10-04T20:44:22.015Z,2020-10-04T20:44:13.876Z
58233_001668,58233,1668,Endzone,2020-10-11T18:08:57.878Z,2020-10-11T18:09:11.959Z,2020-10-11T18:09:02.878Z
58233_001668,58233,1668,Sideline,2020-10-11T18:08:57.878Z,2020-10-11T18:09:11.959Z,2020-10-11T18:09:02.878Z
58240_000086,58240,86,Endzone,2020-10-13T23:06:44.419Z,2020-10-13T23:06:56.621Z,2020-10-13T23:06:49.419Z
58240_000086,58240,86,Sideline,2020-10-13T23:06:44.419Z,2020-10-13T23:06:56.621Z,2020-10-13T23:06:49.419Z
58241_001260,58241,1260,Endzone,2020-10-11T17:52:09.237Z,2020-10-11T17:52:21.675Z,2020-10-11T17:52:14.237Z
58241_001260,58241,1260,Sideline,2020-10-11T17:52:09.237Z,2020-10-11T17:52:21.675Z,2020-10-11T17:52:14.237Z
58245_002594,58245,2594,Endzone,2020-10-12T02:24:52.994Z,2020-10-12T02:25:04.639Z,2020-10-12T02:24:57.994Z
58245_002594,58245,2594,Sideline,2020-10-12T02:24:52.994Z,2020-10-12T02:25:04.639Z,2020-10-12T02:24:57.994Z
58247_003522,58247,3522,Endzone,2020-10-19T23:37:23.905Z,2020-10-19T23:37:35.587Z,2020-10-19T23:37:28.905Z
58247_003522,58247,3522,Sideline,2020-10-19T23:37:23.905Z,2020-10-19T23:37:35.587Z,2020-10-19T23:37:28.905Z
58251_002850,58251,2850,Endzone,2020-10-18T19:08:10.284Z,2020-10-18T19:08:23.189Z,2020-10-18T19:08:15.284Z
58251_002850,58251,2850,Sideline,2020-10-18T19:08:10.284Z,2020-10-18T19:08:23.189Z,2020-10-18T19:08:15.284Z
58254_002516,58254,2516,Endzone,2020-10-18T19:00:35.290Z,2020-10-18T19:00:48.462Z,2020-10-18T19:00:40.290Z
58254_002516,58254,2516,Sideline,2020-10-18T19:00:35.290Z,2020-10-18T19:00:48.462Z,2020-10-18T19:00:40.290Z
58255_002579,58255,2579,Endzone,2020-10-18T18:56:02.411Z,2020-10-18T18:56:14.712Z,2020-10-18T18:56:07.411Z
58255_002579,58255,2579,Sideline,2020-10-18T18:56:02.411Z,2020-10-18T18:56:14.712Z,2020-10-18T18:56:07.411Z
58255_003091,58255,3091,Endzone,2020-10-18T19:19:50.505Z,2020-10-18T19:20:03.183Z,2020-10-18T19:19:55.505Z
58255_003091,58255,3091,Sideline,2020-10-18T19:19:50.505Z,2020-10-18T19:20:03.183Z,2020-10-18T19:19:55.505Z
58257_001078,58257,1078,Endzone,2020-11-22T21:44:57.372Z,2020-11-22T21:45:09.376Z,2020-11-22T21:45:02.372Z
